i_neuron,cluster,gini,entropy,n_effective
0,2,0.3694995062910767,0.9424808065798841,35.547302
1,2,0.3703102886347436,0.940865018446857,34.294975
2,1,0.3323581777159152,0.9492373931881336,37.519882
3,3,0.3596102326187185,0.9458766286932047,35.805832
4,0,0.3725647920990729,0.9385946001900264,36.23631
5,0,0.3163991459493413,0.9570717149462822,39.569546
6,1,0.3571655424889273,0.9452683397930236,37.09179
7,0,0.4049275935927346,0.925654356554642,31.480644
8,3,0.3909203364286189,0.9314773605953289,31.322094
9,1,0.3466938619177007,0.9453271110844408,36.947453
10,1,0.3327762253216161,0.9516024247765269,37.329914
11,3,0.4163888306693334,0.9246703296342819,32.27976
12,1,0.3062164850426293,0.959640454830183,38.834248
