i_neuron,cluster,gini,entropy,n_effective
0,0,0.6175719093342895,0.7925284483749352,9.496334
1,1,0.47536214102928537,0.8741023753964225,13.12183
2,1,0.3922706799727467,0.9176219997262407,16.7926
3,0,0.5756349120232426,0.8196147770666609,11.041274
4,1,0.36109374083907875,0.9261940671433281,17.799656
5,0,0.5051665894624182,0.8630744796595163,13.530651
6,1,0.4103436128505994,0.9073970848921924,16.419956
7,1,0.5030383235812556,0.8617310920905529,13.285098
8,0,0.41148603663451433,0.9065010734558054,16.216143
9,0,0.7348192898510427,0.6783019151181591,6.5072346
10,1,0.48808054390620526,0.8692864898394707,13.43374
11,0,0.5566592669363691,0.8271786186697365,11.863173
12,1,0.5053643209766084,0.8656405224967646,13.206563
13,1,0.45759649852112527,0.8876980916240839,14.409592
14,1,0.4450514817709174,0.8949574359952022,15.1721525
15,0,0.5045196987279865,0.8639363453347911,13.35622
